"id","type","dc.identifier","dc.language","dc.source","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"omg_catalog:codelijst","dcat:Catalog","","","","","","","","","","","","","","","","","","","omg_dataset:codelijst-testrepo","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-testrepo","dcat:Dataset","","","","omg_dataset:codelijst-testrepo.2.1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-testrepo.2.1.1","dcat:Dataset","be.vlaanderen.omgeving.data.id.dataset.codelijst-testrepo.2.1.1","nl","","","Dataset codelijst testrepo","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid.","omg_dataset:codelijst-testrepo.2.1.1","2023-03-07","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst testrepo","omg_conceptscheme:testrepo","Codelijst testrepo (2.1.1)","2.1.1","omg_vcard:helpdesk","","access_right:PUBLIC","https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html","","https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-testrepo.2.1.1.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-testrepo.2.1.1.testrepo.csv|omg_distribution:codelijst-testrepo.2.1.1.testrepo.jsonld|omg_distribution:codelijst-testrepo.2.1.1.testrepo.ttl|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo.2.1.1","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087","","","","","","","","",""
"omg_distribution:codelijst-testrepo.2.1.1.testrepo.csv","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.1.1.testrepo.csv","","","","","Codelijst testrepo, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-testrepo.2.1.1.testrepo.csv","2023-03-07","","","","ovo:OVO003751","","Codelijst testrepo in text/csv formaat.","","Codelijst testrepo, in text/csv formaat.","2.1.1","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-testrepo.2.1.1.testrepo.csv.html","","","","","file_type:CSV","https://github.com/milieuinfo/codelijst-testrepo.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.1.1.testrepo.csv","https://www.iana.org/assignments/media-types/text/csv","","","",""
"omg_distribution:codelijst-testrepo.2.1.1.testrepo.jsonld","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.1.1.testrepo.jsonld","","","","","Codelijst testrepo, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-testrepo.2.1.1.testrepo.jsonld","2023-03-07","","","","ovo:OVO003751","","Codelijst testrepo in jsonld rdf-formaat.","","Codelijst testrepo, in jsonld rdf-formaat.","2.1.1","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-testrepo.2.1.1.testrepo.jsonld.html","","","","","file_type:JSON_LD","https://github.com/milieuinfo/codelijst-testrepo.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.1.1.testrepo.jsonld","https://www.iana.org/assignments/media-types/application/ld+json","","","",""
"omg_distribution:codelijst-testrepo.2.1.1.testrepo.ttl","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.1.1.testrepo.ttl","","","","","Codelijst testrepo, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-testrepo.2.1.1.testrepo.ttl","2023-03-07","","","","ovo:OVO003751","","Codelijst testrepo in Turtle rdf-formaat.","","Codelijst testrepo, in Turtle rdf-formaat.","2.1.1","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-testrepo.2.1.1.testrepo.ttl.html","","","","","file_type:RDF_TURTLE","https://github.com/milieuinfo/codelijst-testrepo.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.1.1.testrepo.ttl","https://www.iana.org/assignments/media-types/text/turtle","","","",""
"omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo.2.1.1","spdx:Package|dcat:Distribution","be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo.2.1.1","","","","","Codelijst testrepo, Jar maven package.","omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo.2.1.1","2023-03-07","","","","ovo:OVO003751","","Codelijst testrepo in jar-formaat.","","Package codelijst-testrepo","2.1.1","","","access_right:PUBLIC","","","","","","","","file_type:JAR","","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-testrepo/2.1.1/codelijst-testrepo-2.1.1.jar","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-testrepo/2.1.1/codelijst-testrepo-2.1.1.jar","codelijst-testrepo-2.1.1.jar","be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo","2.1.1"
