id,type,dc.identifier,dc.language,dc.source,hasVersion  ,alternative,description,identifier,issued,dct.language,license,publisher,rightsHolder,spatial,title,rootResource,label,owl.versionInfo,contactPoint,dataset,accessRights,landingPage,servesDataset,page,accrualPeriodicity,temporal,distribution,theme,format,accessURL,compressFormat,downloadURL,mediaType,downloadLocation,packageFileName,packageName,versionInfo
omg_catalog:codelijst,dcat:Catalog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omg_dataset:codelijst-testrepo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
omg_dataset:codelijst-testrepo,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-testrepo,nl,NA,NA,Codelijst testrepo Dataset,"Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid.",omg_dataset:codelijst-testrepo,2022-03-01,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Thesaurus testconcepten,omg_conceptscheme:testrepo,Dataset Codelijst testrepo,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-testrepo.html,frequency:IRREG,omg_periodoftime:dataset_omg,omg_distribution:codelijst-testrepo_csv|omg_distribution:codelijst-testrepo_jsonld|omg_distribution:codelijst-testrepo_ttl|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
omg_distribution:codelijst-testrepo_csv,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo_csv,NA,NA,NA,NA,"Codelijst testrepo, geserialiseerd in csv tabelformaat.",omg_distribution:codelijst-testrepo_csv,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst testrepo in text/csv formaat.,NA,"Codelijst testrepo, in text/csv formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-testrepo_csv.html,NA,NA,NA,NA,file_type:CSV,https://github.com/milieuinfo/codelijst-testrepo.git,http://www.iana.org/assignments/media-types/application/gzip,https://raw.githubusercontent.com/milieuinfo/codelijst-testrepo/codelijst-testrepo/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/testrepo/testrepo.csv,https://www.iana.org/assignments/media-types/text/csv,NA,NA,NA,NA
omg_distribution:codelijst-testrepo_jsonld,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo_jsonld,NA,NA,NA,NA,"Codelijst testrepo, geserialiseerd in een jsonld bestand.",omg_distribution:codelijst-testrepo_jsonld,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst testrepo in jsonld rdf-formaat.,NA,"Codelijst testrepo, in jsonld rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-testrepo_jsonld.html,NA,NA,NA,NA,file_type:JSON_LD,https://github.com/milieuinfo/codelijst-testrepo.git,http://www.iana.org/assignments/media-types/application/gzip,https://raw.githubusercontent.com/milieuinfo/codelijst-testrepo/codelijst-testrepo/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/testrepo/testrepo.jsonld,https://www.iana.org/assignments/media-types/application/ld+json,NA,NA,NA,NA
omg_distribution:codelijst-testrepo_ttl,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo_ttl,NA,NA,NA,NA,"Codelijst testrepo, geserialiseerd in Turtle bestand.",omg_distribution:codelijst-testrepo_ttl,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst testrepo in Turtle rdf-formaat.,NA,"Codelijst testrepo, in Turtle rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-testrepo_ttl.html,NA,NA,NA,NA,file_type:RDF_TURTLE,https://github.com/milieuinfo/codelijst-testrepo.git,http://www.iana.org/assignments/media-types/application/gzip,https://raw.githubusercontent.com/milieuinfo/codelijst-testrepo/codelijst-testrepo/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/testrepo/testrepo.ttl,https://www.iana.org/assignments/media-types/text/turtle,NA,NA,NA,NA
omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo,spdx:Package,be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo,NA,NA,NA,NA,"Codelijst testrepo, Jar maven package.",omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo,2023-02-13,NA,NA,NA,ovo:OVO003751,NA,Codelijst testrepo in jar-formaat.,NA,Package codelijst-testrepo,NA,NA,NA,access_right:PUBLIC,NA,NA,NA,NA,NA,NA,NA,file_type:JAR,NA,NA,,NA,NA,NA,NA,NA
