"recordtype","id","type","dc.identifier","dc.language","dc.source","isVersionOf","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"CATALOG","omg_catalog:codelijst","dcat:Catalog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omg_dataset:codelijst-testrepo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DATASET","omg_dataset:codelijst-testrepo","dcat:Dataset","be.vlaanderen.omgeving.data.id.dataset.codelijst-testrepo","nl",NA,NA,NA,"Dataset codelijst testrepo","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid.","omg_dataset:codelijst-testrepo",NA,"language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst testrepo","omg_conceptscheme:testrepo","Codelijst testrepo",NA,"omg_vcard:helpdesk",NA,"access_right:PUBLIC","https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html",NA,"https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-testrepo.html","frequency:IRREG","omg_periodoftime:dataset_omg",NA,"datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V2.2.1-DATASET","omg_dataset:codelijst-testrepo.2.2.1","dcat:Dataset","be.vlaanderen.omgeving.data.id.dataset.codelijst-testrepo.2.2.1","nl",NA,"omg_dataset:codelijst-testrepo",NA,"Dataset codelijst testrepo","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid.","omg_dataset:codelijst-testrepo.2.2.1","2023-03-24","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst testrepo","omg_conceptscheme:testrepo","Codelijst testrepo (2.2.1)","2.2.1","omg_vcard:helpdesk",NA,"access_right:PUBLIC","https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html",NA,"https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-testrepo.2.2.1.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-testrepo.2.2.1.testrepo.csv|omg_distribution:codelijst-testrepo.2.2.1.testrepo.jsonld|omg_distribution:codelijst-testrepo.2.2.1.testrepo.ttl|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo.2.2.1","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V2.2.1-DISTRIB","omg_distribution:codelijst-testrepo.2.2.1.testrepo.csv","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.2.1.testrepo.csv",NA,NA,NA,NA,NA,"Codelijst testrepo, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-testrepo.2.2.1.testrepo.csv","2023-03-24",NA,NA,NA,"ovo:OVO003751",NA,"Codelijst testrepo in text/csv formaat.",NA,"Codelijst testrepo, in text/csv formaat.",NA,NA,NA,"access_right:PUBLIC",NA,NA,"https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-testrepo.2.2.1.testrepo.csv.html",NA,NA,NA,NA,"file_type:CSV","https://github.com/milieuinfo/codelijst-testrepo.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.2.1.testrepo.csv","https://www.iana.org/assignments/media-types/text/csv",NA,NA,NA,NA
"V2.2.1-DISTRIB","omg_distribution:codelijst-testrepo.2.2.1.testrepo.jsonld","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.2.1.testrepo.jsonld",NA,NA,NA,NA,NA,"Codelijst testrepo, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-testrepo.2.2.1.testrepo.jsonld","2023-03-24",NA,NA,NA,"ovo:OVO003751",NA,"Codelijst testrepo in jsonld rdf-formaat.",NA,"Codelijst testrepo, in jsonld rdf-formaat.",NA,NA,NA,"access_right:PUBLIC",NA,NA,"https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-testrepo.2.2.1.testrepo.jsonld.html",NA,NA,NA,NA,"file_type:JSON_LD","https://github.com/milieuinfo/codelijst-testrepo.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.2.1.testrepo.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",NA,NA,NA,NA
"V2.2.1-DISTRIB","omg_distribution:codelijst-testrepo.2.2.1.testrepo.ttl","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.2.1.testrepo.ttl",NA,NA,NA,NA,NA,"Codelijst testrepo, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-testrepo.2.2.1.testrepo.ttl","2023-03-24",NA,NA,NA,"ovo:OVO003751",NA,"Codelijst testrepo in Turtle rdf-formaat.",NA,"Codelijst testrepo, in Turtle rdf-formaat.",NA,NA,NA,"access_right:PUBLIC",NA,NA,"https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-testrepo.2.2.1.testrepo.ttl.html",NA,NA,NA,NA,"file_type:RDF_TURTLE","https://github.com/milieuinfo/codelijst-testrepo.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-testrepo.2.2.1.testrepo.ttl","https://www.iana.org/assignments/media-types/text/turtle",NA,NA,NA,NA
"V2.2.1-PACKAGE","omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo.2.2.1","dcat:Distribution|spdx:Package","be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo.2.2.1",NA,NA,NA,NA,NA,"Codelijst testrepo, Jar maven package.","omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo.2.2.1","2023-03-24",NA,NA,NA,"ovo:OVO003751",NA,"Codelijst testrepo in jar-formaat.",NA,"Package codelijst-testrepo",NA,NA,NA,"access_right:PUBLIC",NA,NA,NA,NA,NA,NA,NA,"file_type:JAR",NA,NA,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-testrepo/2.2.1/codelijst-testrepo-2.2.1.jar",NA,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-testrepo/2.2.1/codelijst-testrepo-2.2.1.jar","codelijst-testrepo-2.2.1.jar","be.vlaanderen.omgeving.data.id.graph.codelijst-testrepo","2.2.1"
